0.0001 65.4969 5.86
0.004 -20.19 6.25
0.0056 42.287 6.7
0.0058 -24.249 6.5
0.0065 17.17 6.6
0.0084 63.223 6.24
0.0089 -36.312 6.9
0.0112 48.1 6.8
0.0115 -17.364 4.55
0.0125 66.265 6.29
0.0162 62.01 5.88
0.0176 -16.4789 5.78
0.0179 -29.3229 6.39
0.0194 -10.468 5.1
0.0203 41.493 6.1
0.0208 66.538 5.67
0.022 -71.424 5.59
0.0232 34.234 6.12
0.0232 58.157 6.62
0.0236 26.227 6.25
0.0245 27.243 6.5
0.0249 61.0265 5.8
0.025 -0.4639 6.29
0.0257 44.576 6.5
0.0264 35.181 6.87
0.0281 3.202 6.9
0.0281 -5.5864 4.61
0.0295 -68.1379 6.9
0.0313 13.076 5.51
0.0343 28.0018 6.9
0.0348 40.089 6.7
0.0364 58.1 5.96
0.0379 -49.2069 5.7
0.0382 63.556 5.59
0.0401 28.17 6.7
0.0403 28.451 6.13
0.0428 -23.2269 6.18
0.0435 -39.0889 6.9
0.0475 -17.3939 6.19
0.0517 -2.4909 6.43
0.052 -66.1219 6.9
0.0525 -22.4669 5.94
0.0564 -78.5219 6.8
0.0564 -2.4309 6.07
0.0574 -9.0559 5.99
0.058 28.4925 2.06
0.0589 62.5611 6.42
0.06 -17.5088 6.06
0.0609 36.2141 6.19
0.0623 40.1351 6.9
0.0629 25.1161 6.23
0.0641 27.5871 6.5
0.0647 17.5651 5.53
0.0652 79.2671 6.01
0.0653 58.5200 2.27
0.0654 -54.1629 6.33
0.0681 -28.1539 5.42
0.0689 -46.0099 3.88
0.074 -62.3398 6.6
0.075 10.5256 5.51
0.0771 45.4811 5.03
0.0775 -5.3108 5.84
0.0786 56.5382 6.5
0.0786 -82.2963 5.28
0.0793 59.2421 6.7
0.0795 32.5161 6.83
0.0816 -12.5098 5.85
0.0824 -35.0778 6.9
0.0826 -73.2968 6.64
0.0848 57.1911 6.7
0.086 -3.3548 6.8
0.087 -15.4428 4.89
0.0905 -18.5218 6.9
0.0921 -35.2417 5.25
0.0935 47.5302 6.16
0.0942 -42.2648 6.5
0.0943 23.1212 6.6
0.0949 53.2122 6.81
0.095 -14.0497 6.6
0.0962 -18.1247 5.25
0.0995 44.2622 6.6
0.1017 45.4962 6.7
0.1023 37.2542 6.73
0.1053 61.4633 6.64
0.1053 -22.4437 6.6
0.1057 16.3913 6.6
0.1063 20.2902 6.9
0.1069 14.5482 2.83
0.108 26.4303 6.3
0.1089 40.4592 5.72
0.1117 -26.1747 5.94
0.1121 -26.3327 6.3
0.1122 -23.2907 6.9
0.1124 1.0682 6.8
0.1126 59.4383 6.88
0.1143 32.5623 6.1
0.1144 -57.1617 6.8
0.1151 -85.1577 5.77
0.1177 -55.2037 6.7
0.1182 -21.2797 6.91
0.119 -8.0297 5.12
0.1193 -63.0247 6.5
0.1201 19.5623 4.8
0.121 -19.1213 4.44
0.1213 -15.0446 6.9
0.1226 -14.2686 6.9
0.1234 22.0083 6
0.1236 -9.5036 5.75
0.1237 -3.1786 6.9
