6069 Cevolani                        192.692522  2.2476880  0.04080148 329.950247 192.696982   4.029462  14.1
6070 Rheinland                       333.660981  2.3882202  0.21020192 292.438660  84.129889   3.132802  13.6
6071 1992 AS1                        213.336398  2.7070259  0.11069149 277.038931 152.817385  11.730151  11.8
6072 Hooghoudt                       213.368871  3.1531810  0.02677321 101.830340 189.345752   9.124387  12.0
6073 1939 UB                         229.051955  2.6217330  0.13000984 269.429439 212.312902  12.187419  12.1
6074 1968 QE                          25.613113  2.3911665  0.21666012  68.906759 267.820840   1.576137  13.6
6075 Zajtsev                         257.067539  3.1506292  0.12915517 144.062601 167.260731   1.332381  12.5
6076 Plavec                           47.313296  2.6376687  0.17696513  81.237321 143.392727   8.155507  12.8
6077 1980 TM                         318.636308  2.7902205  0.11107072 322.324805  24.003392   4.306694  12.6
6078 Burt                            282.048555  2.8035391  0.17386986 138.420756 228.932782   8.353050  13.3
6079 1981 DG3                        335.111327  3.2005420  0.08856161 258.083247 328.462193  15.160264  11.3
6080 1981 EY26                       322.954210  3.1819585  0.09605527 266.945993 340.880230   5.229398  12.8
6081 1981 EE35                       355.678699  2.4883129  0.19288463 170.099961 165.701228   7.328969  15.4
6082 1982 UH8                          6.550783  2.5470239  0.11296906  37.552369 285.991716   5.403066  12.8
6083 1984 SQ2                         28.000538  2.2402079  0.17787337 341.843422  32.408209   5.660867  14.4
6084 1985 CT                           2.581891  2.3129224  0.23559646 258.342745 147.458303  22.999302  12.8
6085 1987 SN3                         29.993634  2.3070645  0.13813262 144.998703 201.792139   6.642416  13.9
6086 1987 VU                         144.307773  2.7230042  0.16699047 323.587464  65.552584   8.941404  12.4
6087 1988 FK                         277.244994  1.9298678  0.07642540  53.667280 152.668746  22.618082  14.6
6088 1988 UH                         158.926117  3.1071127  0.10907697 327.808575 203.189203   3.700849  12.5
6089 Izumi                            43.481662  2.1823647  0.12739800 264.686029 124.152077   4.790050  14.1
6090 1989 DJ                          16.734631  5.3028905  0.05839560  72.653432 328.513151  20.192560   9.4
6091 Mitsuru                          85.504070  2.2086936  0.22350253 319.185211 337.417085   8.387090  13.3
6092 1990 MN                          39.638058  2.3682056  0.25046746 200.356200 132.541045   9.501243  13.9
