6561 1991 TC4                        250.844692  2.5899211  0.18436632 177.471209 163.466525  13.662329  13.6
6562 1991 VR3                        348.722618  2.2626959  0.22649808 294.272154 111.148106   5.166969  14.0
6563 Steinheim                       295.321020  2.2958710  0.06703752  98.397860 356.991749   5.895426  14.5
6564 1992 BB                         149.088958  1.8819242  0.26664873 330.327416 194.653830  45.284306  15.9
6565 1992 FT                         325.644571  2.1714905  0.03010473  53.249361 156.254239   2.393575  14.1
6566 1992 UB2                        256.912345  2.2769275  0.16909952 204.800505 156.697335   3.939838  13.8
6567 1992 WS                         283.264931  2.2692359  0.19661522 110.399597 235.362516   4.536181  14.0
6568 1993 DT                         197.700883  2.5447311  0.16733478 104.961486 308.884585   8.447123  14.2
6569 1993 MO                         146.527399  1.6260747  0.22090122 167.086424 111.582441  22.635809  16.5
6570 1994 JO                         304.996908  3.1346808  0.17012850 325.280095 215.538872  14.417283  12.1
6571 Sigmund                         280.522187  2.4803619  0.15262276  24.273788 287.633682   6.288745  13.8
6572 Carson                          294.436955  2.5430207  0.26724772 190.729436 141.258068   2.603961  12.4
6573 1974 SK1                        251.185237  2.5831381  0.12421087 202.080926 170.357948   2.195669  13.3
6574 1976 QE1                        274.680588  3.4005012  0.19235561 242.713545 349.512017  17.724872  11.5
6575 1978 PJ2                        141.291097  3.1297416  0.15301575 230.264081 189.523924   5.095809  12.4
6576 1978 RK1                        203.288664  3.1244610  0.17217020 268.874195  93.838263   2.630854  12.5
6577 1978 VB6                        335.455056  2.3284020  0.20128410  25.010829 245.427804  23.657392  13.8
6578 1980 TQ14                       261.887349  2.4210352  0.18730754 240.501503 141.484922   3.586400  13.9
6579 1981 ES4                        211.900702  2.6131245  0.18036806  36.186025 327.121415  15.843071  13.3
6580 1981 EW21                       349.399317  2.6255107  0.12544108   0.794446 219.793626   1.088574  15.3
6581 Sobers                          307.837647  2.2988529  0.11948043 357.597392 350.754803   6.011587  13.6
6582 1981 VS                         209.134699  2.7742999  0.29076598 204.424821 206.919975   8.930790  12.7
6583 1984 DE                         171.077980  2.6605403  0.10082556 123.169065 316.367916   6.909657  12.4
6584 1984 FK                          14.253675  2.2726913  0.09488819  80.708337 167.163906   4.740848  13.5
6585 1984 SR                         252.474458  2.3696836  0.35940664  60.160571   0.847301  22.376891  14.3
6586 1984 UK1                        144.526031  2.4446128  0.15533243 245.374430 228.495890   3.613965  13.9
6587 1984 WA4                        235.553936  2.4544695  0.06563558  32.350133 350.104050   4.936698  13.4
6588 1985 RC4                        246.595146  2.9016898  0.06416177 170.810393 141.027343   2.769857  12.6
6589 1985 SL3                        287.080118  2.2725679  0.18738672  27.105787 308.871216   5.306717  14.3
6590 1985 TA2                        124.892822  3.0266033  0.09791893 103.323000 304.731373   8.986461  11.6
6591 1986 RT5                        208.129502  2.7581412  0.12084246  72.246700 288.789572   4.517780  13.1
6592 Goya                            180.919912  2.7564735  0.16169473  87.697960 329.900514   4.214042  12.9
6593 1986 UV                         195.601840  2.7494296  0.06017083  59.815217 345.261546   4.501802  12.9
6594 1987 MM1                        104.430785  2.7772502  0.16294923 123.686544 195.130450   8.757655  13.2
6595 Munizbarreto                    257.292923  2.4288932  0.15372950  79.337909 319.111905   5.456455  13.9
6596 1987 VC1                        211.056980  2.5877853  0.08246116   6.944725  30.515835   4.915979  13.5
6597 1988 AF1                        206.277900  2.5824873  0.29639062  21.676126  52.426126   3.291937  14.7
6598 Modugno                         177.284537  2.6978624  0.23910811  97.822465 333.794505  10.173649  13.0
6599 1988 PV                         314.086058  2.2663948  0.21290862 115.439296 223.502298   5.177178  13.6
6600 1988 QW                         284.682736  2.2542693  0.20977084  87.050799 305.718052   2.826359  14.1
6601 1988 XK1                        293.582221  2.3709060  0.23760833 270.664943  72.078132   2.263169  13.8
6602 1989 EC                         315.241186  1.8706993  0.07344088  98.030896 341.046281  22.670756  12.9
6603 1990 KG                         329.062433  2.6491253  0.20603737 107.112978 114.324640  16.419256  12.7
6604 Ilias                           109.408397  2.7784737  0.04902175 342.190772 139.484405   6.416407  12.6
6605 1990 SM9                        171.760931  2.8917861  0.07680127 293.937660 108.345184   3.166738  12.5
6606 1990 UF                         200.915075  3.0999199  0.17050263 108.631010 209.192433   4.997634  12.4
6607 1991 UL2                        207.258692  2.6219326  0.11334897 282.917524 117.377543   4.679037  12.5
6608 1991 VC4                        244.350130  2.4501134  0.19252660 194.940461 222.219092  11.098848  12.7
6609 1992 BN                         210.365171  2.9978182  0.11314826 242.850667 121.659357  11.371222  11.4
6610 1993 BL3                        267.707250  2.2907074  0.17245196 350.609786  60.702130   7.902184  12.9
6611 1993 VW                         350.210141  1.6947620  0.48496991 281.078653 231.190940   8.686697  16.5
6612 1994 EM1                          2.625195  2.4226516  0.14308897 158.616595  79.579641   3.834441  13.5
6613 1994 LK                         246.028740  3.1548329  0.17983942  88.345165 199.990851  25.445365  12.3
6614 Antisthenes                     204.662771  2.4832221  0.15722594 228.699514 171.708366   5.593140  13.5
6615 Plutarchos                       75.419559  2.1696597  0.12628031  80.425938 129.456641   1.795460  14.0
6616 Plotinos                        227.064521  2.4149772  0.12192331 214.220970 188.394501   6.087757  14.3
6617 Boethius                        306.054876  2.2097114  0.13824289 281.166239  68.464733   3.425859  13.9
6618 1936 SO                         309.730495  1.8750344  0.04405183 110.214539 334.761552  23.831401  13.3
6619 1973 SS4                         52.788058  3.1725567  0.18630503 114.240556  18.155997  19.085192  10.7
6620 1973 UC                         239.125763  2.6783494  0.28065627 350.566949  23.842998   7.629588  14.2
6621 1975 VN5                        236.150601  2.5409942  0.24630835 253.507901 124.878603   7.113188  13.5
6622 1978 RG1                        159.927276  3.2261833  0.23995509 201.630701 145.805881   1.763491  13.2
6623 1979 MY2                         22.893177  2.4818698  0.13815495 325.717025 238.956323   4.538349  14.6
6624 1980 SG                         231.923353  2.4493600  0.15719547 344.541179  22.075433   7.083577  13.9
6625 1981 EX41                       140.581557  3.1692829  0.17886370 206.482453 200.828000   1.296032  12.9
6626 1981 EZ46                       187.955529  3.0255770  0.38811221   2.455452  43.399120   2.123832  14.6
6627 1981 FT                         139.648775  2.1727783  0.08269794 116.982739  60.624074   3.976019  14.1
6628 Dondelia                        159.785118  2.9059286  0.07081632 252.345961 127.621823   2.923857  12.6
6629 Kurtz                           326.695542  2.1787158  0.13889798 161.828698 212.304090   2.122762  14.5
6630 Skepticus                       304.171838  2.2315467  0.20103263 273.042693  61.733983   6.062996  13.7
6631 1983 RQ4                        249.783317  2.4681791  0.14887710 205.422307 192.235726   7.130148  13.1
6632 Scoon                           211.314859  2.4111650  0.11927973  22.871658  42.643666   6.989635  13.9
6633 1986 TR4                        248.985605  2.6524734  0.18885412 109.503236 272.145019   4.055069  12.8
6634 1987 KB                         336.139502  2.3711936  0.26734676  66.378289 243.714945  10.716833  12.9
6635 1987 SH3                        333.232458  1.8897430  0.10990247 265.893905 189.992711  24.239655  13.8
6636 1988 RK8                        278.179216  2.2709800  0.11810027 214.696298 178.793266   2.344052  13.9
6637 1988 XZ                         173.502039  2.4047341  0.05394044 219.883433 251.235414   4.673522  13.3
6638 1989 CA                         215.537024  2.4355842  0.16210757 218.974103 217.015741   1.901103  13.6
6639 1989 SO8                        258.230920  3.1601914  0.14093359 211.460768  69.859566   2.543332  12.4
6640 Falorni                         136.886778  2.2665265  0.06742998 205.809061 338.430075   5.212147  13.7
6641 1990 OK2                        212.551520  2.7800592  0.18735106 294.174032  81.941661   4.877670  13.2
