2062 Aten                            103.757760  0.9664419  0.18254321 147.878950 108.658031  18.931259  16.8
2063 Bacchus                          69.360987  1.0780936  0.34941046  55.182610  33.241198   9.431943  17.1
2064 Thomsen                         157.049301  2.1783712  0.32908840   2.141703 302.378812   5.695141  13.1
2065 Spicer                          235.069758  2.6970620  0.23609502  65.647629 328.641659   6.436386  12.2
2066 Palala                          130.735192  2.3950516  0.12771515 110.400975 117.299785   3.753433  12.5
2067 Aksnes                           33.309290  3.9568893  0.18369160 299.790823 150.680354   3.069939  10.5
2068 Dangreen                         31.759246  2.7717091  0.09704751 320.096834  96.260702  12.895255  11.5
2069 Hubble                          297.820095  3.1658777  0.17562287  68.002916  46.770249   9.126262  11.1
2070 Humason                          18.298647  2.2500169  0.15509874 349.687549   1.461625   2.758477  13.9
2071 Nadezhda                        358.333862  2.2518495  0.15735416   0.665732 302.473317   3.637607  13.3
2072 Kosmodemyanskaya                114.910941  2.4509160  0.16266222  37.913468  26.374335   4.755127  12.6
2073 Janacek                         218.019013  2.7154916  0.11224105   0.155264  85.184237   2.962940  12.7
2074 Shoemaker                       266.273228  1.7997848  0.08199217 205.284847 207.381679  30.072976  14.0
2075 Martinez                         86.104264  2.4023709  0.24943183 355.102662 112.358156  27.062713  13.0
2076 Levin                           329.143136  2.2739279  0.15233646  74.477264 329.170414   4.991530  13.5
2077 Kiangsu                         236.265186  2.3258258  0.29686409 343.907243  69.640891  28.116275  14.1
2078 Nanking                         194.679099  2.3697216  0.37364738  98.800578 287.469664  20.156126  12.1
2079 Jacchia                         139.510825  2.5972843  0.08036425 145.424911 353.362486  13.299721  12.7
2080 Jihlava                          59.773142  2.1768610  0.06071798  51.648567  23.996671   3.853986  13.1
2081 Sazava                          184.442182  2.4508265  0.16237541 222.123999  66.561025   3.917519  12.1
2082 Galahad                         315.625008  2.9222225  0.16422128 143.434655  90.473556   3.068863  13.3
2083 Smither                         160.309858  1.8719020  0.05138787 228.448103 259.323691  18.452047  13.3
2084 Okayama                         129.984405  2.3959564  0.10191661 247.837719 149.224969   4.840001  12.2
2085 Henan                           160.895399  2.6990130  0.08575514 294.121892 118.290433   3.828711  11.4
2086 Newell                          300.004781  2.4024170  0.11203877 294.903422 135.308223   6.476491  12.4
2087 Kochera                         344.886464  2.2057802  0.05741035 319.537411  95.676775   1.829143  13.1
2088 Sahlia                          351.904610  2.2068042  0.07879210  91.152751 359.912316   5.545157  12.4
2089 Cetacea                          46.833262  2.5336827  0.15468815 286.855695 102.883555  15.402829  11.0
2090 Mizuho                          140.494720  3.0676652  0.14065855 337.057836 340.224199  11.836854  11.0
2091 Sampo                           113.985600  3.0142768  0.06143660 325.440571 114.818956  11.371236  10.2
2092 Sumiana                         110.715087  2.8473999  0.03092215 206.991278  72.504197   3.080030  11.9
2093 Genichesk                       317.565656  2.2694476  0.16759158 117.829945 155.055834   6.086698  12.6
2094 Magnitka                        240.175274  2.2318511  0.09698023 251.615774 282.179305   5.026995  12.0
2095 Parsifal                        298.232416  2.6406579  0.00907434  18.978841 332.857276   3.593711  12.4
2096 Vaino                           155.082427  2.4456745  0.23268113  38.398198 305.323108   0.990706  13.3
2097 Galle                            29.439655  3.1208716  0.26403710  29.076157 319.693952   4.388067  11.9
2098 Zyskin                          309.833471  2.4230522  0.12800136 354.269987 337.927846   6.515205  12.5
2099 Opik                            335.046963  2.3032638  0.36222112 159.044190 218.999143  26.954347  15.2
2100 Ra-Shalom                       222.751723  0.8320362  0.43660346 355.970278 170.924068  15.751590  16.1
2101 Adonis                          143.776912  1.8742874  0.76471325  42.292776 350.710223   1.351143  18.7
2102 Tantalus                        100.365962  1.2900269  0.29869605  61.615441  94.399506  64.007645  16.2
2103 Laverna                         288.331194  3.1440954  0.18973929 239.726991 292.277823   7.693022  10.8
2104 Toronto                         226.828275  3.1897473  0.11350477 293.117170 252.633579  18.367647  10.3
2105 Gudy                            108.085610  2.3896862  0.14976311 156.039924 273.778051  29.301109  11.3
2106 Hugo                            315.516620  2.7053912  0.09706161 247.794236 152.221541   8.038837  11.7
2107 Ilmari                          114.074473  2.6273878  0.07736411 177.397748 221.620889   8.829514  11.4
2108 Otto Schmidt                     44.214830  2.4357389  0.00435771  47.888399 328.112281  10.784880  11.5
2109 Dhotel                          306.231452  2.6897458  0.26235210 192.423523 162.472062   8.080530  11.9
2110 Moore-Sitterly                   15.736103  2.1983033  0.17796007 192.437173 140.452526   1.127374  13.8
2111 Tselina                          83.844085  3.0203784  0.08736704 231.407618 167.442374  10.483133  10.5
2112 Ulyanov                         161.699421  2.2539173  0.13715221 156.060957 243.952457   3.368093  12.8
2113 Ehrdni                          224.416199  2.4733134  0.09678877 348.364004  23.494328   6.448954  13.2
2114 Wallenquist                     321.029723  3.1922384  0.15139087 218.821465   1.595324   0.562618  11.1
2115 Irakli                          314.150391  3.0102728  0.05768857 332.839387 241.813992   8.975177  11.0
2116 Mtskheta                        191.144128  2.5892442  0.05736072 173.878564 170.985366   9.066314  12.1
2117 Danmark                         318.781208  2.8693564  0.06836405 266.121408  59.722083   2.936978  11.7
2118 Flagstaff                       230.913166  2.5466473  0.21832625 100.866964 331.748614   6.321532  12.0
2119 Schwall                          67.006468  2.2514217  0.15709501  19.480427 268.456876   3.835526  12.8
2120 Tyumenia                        315.722678  3.0639193  0.11719609  74.908298 222.846670  17.578062  10.4
2121 Sevastopol                      117.408020  2.1831033  0.17866611 159.757291 145.856013   4.372582  12.3
2122 Pyatiletka                      145.552173  2.4019173  0.02831451 235.217244 105.634003   7.889353  12.1
2123 Vltava                           28.893892  2.8591139  0.07718648  55.195466 312.411870   1.013950  11.5
2124 Nissen                          196.409809  3.0238187  0.09251931 252.108300  47.460978  10.723920  11.7
2125 Karl-Ontjes                      72.929768  2.7849837  0.10832484  15.340194 316.235974   1.694791  12.4
2126 Gerasimovich                    162.682984  2.3902174  0.11980542  69.512788 327.941521   8.492914  12.4
2127 Tanya                           231.735467  3.2097293  0.04283450 177.238541 106.875948  13.138500  10.7
2128 Wetherill                       186.010431  2.7383623  0.37878646 331.248823 358.906687  16.825493  13.6
2129 Cosicosi                        241.220427  2.1806358  0.17338588 318.186352  58.645190   5.518425  13.7
2130 Evdokiya                         38.516356  2.2529376  0.18900490 326.687148 350.283320   5.616584  13.5
2131 Mayall                          297.020977  1.8870772  0.11095269  38.422762 306.144634  33.995856  12.7
2132 Zhukov                          294.884991  2.7837726  0.08173822 336.139151  82.679315   5.861982  11.4
2133 Franceswright                   323.489635  2.4102269  0.18420371 279.598849  78.705870   6.906933  13.3
2134 Dennispalm                      351.032714  2.6387276  0.25596740 119.616185  11.880961  31.284511  11.5
2135 Aristaeus                       205.631379  1.5997302  0.50319805 290.714109 191.378592  23.042938  18.0
2136 Jugta                           233.693718  3.0181059  0.04878500  63.013001 149.154879  10.593374  11.6
2137 Priscilla                       212.691611  3.1800291  0.06721827 137.131368 320.485274  11.744069  11.1
2138 Swissair                        241.667159  2.6863320  0.06788902 168.328801 105.814518   5.931491  11.5
2139 Makharadze                       69.827324  2.4600066  0.18890839  65.626091 256.824213   2.188113  12.8
2140 Kemerovo                         81.046452  2.9885976  0.05121438 117.691551 275.174987   6.988089  10.9
2141 Simferopol                        4.666600  2.8053156  0.13024624  56.319122 272.130619   5.941100  11.3
2142 Landau                          240.158839  3.1660477  0.11230745  36.787938 155.373884   0.660655  12.1
2143 Jimarnold                        68.565993  2.2806379  0.23442075 351.831971  17.585081   8.374090  14.3
2144 Marietta                          9.148119  2.8745139  0.05764010 277.652569 138.696987   2.827145  11.0
2145 Blaauw                          202.005150  3.2239037  0.08604246 277.417186 264.638916  15.020195  10.6
2146 Stentor                         358.443891  5.2005081  0.10327732 273.191779 131.311249  39.251072  10.8
2147 Kharadze                        321.714032  3.1726113  0.05209650 296.991565 144.902974  10.059501  11.7
2148 Epeios                            5.509721  5.1973316  0.05874259 231.190523 176.591264   9.157923  11.1
2149 Schwambraniya                   358.392583  2.5499384  0.10454448 229.833276  62.765696   7.710495  11.7
2150 Nyctimene                       259.532995  1.9134071  0.05728404 235.343707 201.140343  25.318278  13.4
2151 Hadwiger                        295.949232  2.5613201  0.05620729  85.580791  28.153495  15.460888  11.1
2152 Hannibal                        186.095311  3.1323544  0.21563143 143.510961 251.106170  13.955230  10.5
2153 Akiyama                         247.969754  3.1138523  0.16544204  30.962063  47.914214   1.192860  11.9
2154 Underhill                       202.601883  2.6361042  0.12530499 120.101033   1.069956   7.767980  12.7
2155 Wodan                           273.856271  2.8547434  0.07949828 347.706014  38.906548   2.544531  12.6
2156 Kate                             10.324570  2.2422387  0.20157717   4.097051  17.353493   5.354496  12.7
2157 Ashbrook                        290.711029  2.7831557  0.11336043 264.685342 349.849244   8.620310  11.4
2158 Tietjen                          34.988197  3.0753564  0.17941935 104.361717 187.431840   1.578035  11.8
2159 Kukkamaki                       109.956075  2.4814446  0.04116203 123.928306 351.492297   3.279807  12.1
2160 Spitzer                         167.179338  2.8998874  0.09630752 207.856215 134.494521   2.853864  12.1
2161 Grissom                         238.772006  2.7472777  0.16210655 249.348796 126.680413   7.297011  12.4
2162 Anhui                           343.470087  2.2272877  0.12341518 285.110131 128.725438   3.046298  13.0
2163 Korczak                         284.495675  3.1382312  0.19185594 267.290795 113.422262   2.510505  11.7
2164 Lyalya                          251.439980  3.1851617  0.13079832 187.733986 115.993824   2.618777  11.8
2165 Young                           134.676471  3.1369926  0.16658539  25.018153  19.496539   0.946844  11.0
2166 Handahl                          96.694282  2.3455905  0.21797332 135.677301 164.166984   5.122751  14.3
2167 Erin                            305.086280  2.5439153  0.18214126 274.323723 253.155565   6.035364  12.1
2168 Swope                            83.523989  2.4515621  0.15462389   9.840837 314.277400   4.749153  12.8
2169 Taiwan                           74.294373  2.7890912  0.04990227 359.676855  71.952961   1.530653  12.0
2170 Byelorussia                      54.935079  2.4041693  0.18171041 116.108120 256.123522   2.080572  13.9
2171 Kiev                            162.917980  2.2551144  0.16656249 179.652092 102.230931   7.515534  13.6
2172 Plavsk                          321.824585  2.8985494  0.13783740 332.303172  84.624967   3.322763  12.1
2173 Maresjev                        121.856500  3.1332156  0.12366457 161.221639 174.986968  14.442371  11.4
2174 Asmodeus                        235.850663  2.5374172  0.27151078   5.369490   0.214676   8.099224  13.7
2175 Andrea Doria                    113.030336  2.2159206  0.20669326 143.190169 222.333225   3.697890  14.2
2176 Donar                           288.150176  2.9318557  0.05099122 174.542685  90.233646   3.048066  12.3
2177 Oliver                          257.826714  3.1952770  0.09207951 265.184375  52.293296   1.542089  11.3
2178 Kazakhstania                    314.053819  2.2074876  0.15501334 350.627768  11.593377   3.079488  13.4
2179 Platzeck                        328.924405  3.0120189  0.09303722  54.064099  15.226735  10.492756  11.5
2180 Marjaleena                       47.903579  3.0104379  0.08752241  88.348592 233.631548   9.233382  11.0
2181 Fogelin                          92.200938  2.5904225  0.11933386 116.913133  17.525467  13.035795  12.1
2182 Semirot                          21.064829  3.1344595  0.12246574 193.422959  51.538007   2.290437  11.3
2183 Neufang                         172.914592  2.9964628  0.37407367 237.913741  88.489825  18.246847  11.5
2184 Fujian                          356.005721  3.1735860  0.10985511 120.755249 256.876763   5.204731  11.5
2185 Guangdong                       201.781356  2.7098505  0.16013655 260.779158  61.047206   9.609173  11.3
2186 Keldysh                         203.205513  2.6797204  0.10292714 132.305569 285.775903   2.364759  12.3
2187 La Silla                        230.699144  2.5367266  0.11699995 214.638572 137.561858  13.244812  13.0
2188 Orlenok                         211.072672  2.9038239  0.08510161 195.060882 140.572209   2.652159  11.9
2189 Zaragoza                         29.247186  2.4032914  0.22462040 216.919017 128.952129  13.920989  12.8
2190 Coubertin                       256.587096  2.4699922  0.09191672 315.928041 262.863157   0.828631  12.5
2191 Uppsala                         261.655414  3.0179829  0.08988422 176.078240 247.900364   9.034760  11.3
2192 Pyatigoriya                     152.633096  3.1393475  0.08004112 137.093457 201.995994   9.733291  11.3
2193 Jackson                          42.707779  3.1114816  0.06141015 226.678316  37.016555  11.667590  10.3
2194 Arpola                          187.900372  2.3289779  0.04084355 101.493957  47.352313   8.528353  12.6
2195 Tengstrom                        34.986524  2.2215354  0.10512830 295.024896 101.103891   4.574199  12.6
2196 Ellicott                         39.221962  3.4393681  0.05300279 319.000872 212.544926  10.283618  10.3
2197 Shanghai                        274.169532  3.1584896  0.11604782  67.265013  56.639075   2.509264  11.2
2198 Ceplecha                        147.784476  2.5927156  0.19827086 180.943552 223.424269   3.638696  14.3
2199 Klet                            319.252415  2.2414228  0.20052947 142.367172 147.141861   8.188414  13.1
2200 Pasadena                        203.248226  2.4044630  0.14852903 210.750212 345.737331   4.592233  13.4
2201 Oljato                          262.891002  2.1732116  0.71278194  96.173750  76.666193   2.516269  15.3
2202 Pele                            147.860211  2.2915356  0.51163561 217.268313 170.295133   8.774267  17.6
2203 van Rhijn                       153.519244  3.1169896  0.17611149 328.035336  50.629356   1.649685  11.5
2204 Lyyli                           136.148302  2.5918921  0.40508708 282.438180 161.007090  20.530265  12.7
2205 Glinka                          310.378826  3.0041488  0.12046890 107.104499 227.943944  10.478830  11.8
2206 Gabrova                          73.034461  3.0156777  0.04428508 158.005031  63.993697  10.917537  11.3
2207 Antenor                         190.014157  5.1295654  0.01584661 296.523947 159.214710   6.806379   8.9
2208 Pushkin                         338.809650  3.4899489  0.04812013   0.265311  79.510923   5.417617  11.0
2209 Tianjin                          20.889259  2.8456266  0.06364391 262.417458 151.063610   2.609828  10.9
2210 Lois                             62.220551  2.4032774  0.22717601 215.281543 123.615249   2.928379  14.3
2211 Hanuman                         143.504502  3.1799819  0.08708086 196.108279 146.333980  17.345734  12.8
2212 Hephaistos                       92.568326  2.1677098  0.83332738 208.413936  28.393737  11.772093  13.9
2213 Meeus                           109.182255  2.1982432  0.22655224 221.793883 127.083059   5.331130  13.7
