3501 Olegiya                         146.526242  2.9220103  0.08803840  66.692624 246.649792   4.987843  11.6
3502 Huangpu                          72.479530  3.1245596  0.18091932 212.275873 105.086160   2.819055  11.8
3503 Brandt                          285.953592  2.6175070  0.18180079 112.200249 187.448946  11.917443  13.7
3504 Kholshevnikov                    88.971077  3.0998113  0.18069448 166.787845 118.899063   2.046148  11.7
3505 Byrd                             57.613228  3.0112191  0.11020860  87.325244 302.744979   9.121360  11.7
3506 French                           46.886852  2.9988571  0.09287651  48.253885 343.161265   9.093455  11.4
3507 Vilas                            38.230727  3.1490472  0.14426405 185.107897  88.699696   3.240402  11.3
3508 Pasternak                       243.466554  2.7592741  0.11093489 297.362838   5.185626   6.640526  12.5
3509 Sanshui                         288.730587  2.5977030  0.15381570 139.542526 219.963257  12.804817  12.1
3510 Veeder                           34.900835  2.5471891  0.12930641  16.465372 280.195051   5.687976  12.5
3511 Tsvetaeva                       114.115584  2.7459861  0.19973052 236.636166 230.097343   8.696870  12.3
3512 Eriepa                          149.111430  2.2490676  0.24742071 300.577988 113.011335   7.489820  13.6
3513 1965 UZ                         302.366835  2.6287142  0.00957289 355.021244 324.104848   2.646836  12.8
3514 1971 UJ                         170.118148  3.9394547  0.20221506 344.300335  24.887155   3.516547  11.7
3515 Jindra                          287.277655  2.8450461  0.01180896 232.066262 342.071460   1.402001  12.1
3516 Rusheva                         112.513462  2.8830082  0.07910507 207.451359 161.942219   2.312339  12.2
3517 Tatianicheva                    165.617599  2.2412819  0.09547687 182.439977 187.332711   3.148808  14.0
3518 Florena                         282.136074  2.6766739  0.17532950 164.582764 148.214822  13.869080  12.4
3519 Ambiorix                         41.125063  2.1704921  0.17739345 246.276794  49.585556   0.569582  13.1
3520 Klopsteg                        195.490530  2.2565507  0.18192917 211.351131 122.860690   4.583699  13.9
3521 Comrie                           84.962941  2.2618982  0.06760396  34.908074  59.008982   3.870766  14.4
3522 Becker                           14.282224  3.1682533  0.29424845 150.537616 201.949090   8.370643  12.3
3523 Arina                           242.014103  2.3702808  0.13744877 158.594963  55.795644   9.684619  12.2
3524 Schulz                           56.581256  2.6146796  0.12825778 330.372012 180.364058  13.061070  13.3
3525 Paul                            342.748738  3.0844851  0.09549753 189.557199 280.620159   2.538605  12.1
3526 Jeffbell                        254.543918  2.7915470  0.09336960 243.372333  42.859070   8.502519  12.1
3527 McCord                          291.332590  2.2919036  0.12198200 354.152458 219.408283   5.505520  13.0
3528 Counselman                      346.632340  2.5352451  0.15817686  32.840100 277.097340   7.449029  12.9
3529 Dowling                          42.358958  2.3813357  0.18410016 184.264525 194.264517   2.761044  14.0
3530 Hammel                           82.180608  2.3998615  0.22445357  75.297104 263.117211   1.174061  13.9
3531 Cruikshank                       64.262748  2.6237703  0.14584645 299.196445 193.149744  13.133333  12.9
3532 Tracie                          108.004866  2.9164836  0.05473426 346.018499  56.665738  10.347043  11.9
3533 Toyota                          162.601107  2.2195515  0.11741908 237.470847 197.376133   4.865137  12.8
3534 Sax                             161.920048  2.7522549  0.19441378 199.830157 247.398604   7.652137  12.4
3535 Ditte                           106.109064  2.2995369  0.18412471 163.488151 262.959149   1.569210  13.9
3536 Schleicher                       11.518061  2.3427370  0.04877134 115.235737 341.299088   6.555152  13.8
3537 Jurgen                          341.503957  2.5885729  0.15642958 278.520343  44.372556  15.166095  13.1
3538 Nelsonia                        241.403461  2.6418598  0.26686042 263.072784 170.714511   4.206024  13.4
3539 Weimar                           13.931072  2.6586118  0.15393791 127.411437 141.682840  13.647349  13.0
3540 Protesilaos                     286.407026  5.2329800  0.11693178 114.820748  26.418629  23.343967   9.0
3541 Graham                          232.772010  2.4581671  0.14614497 130.647698  92.344178   4.009434  12.7
3542 1964 TN2                         44.255271  3.1687259  0.09494819  65.945431 266.245212   8.083859  11.7
3543 1964 VA3                         97.892970  3.1798463  0.16932139 112.166881 162.859625   1.043241  11.5
3544 Borodino                        237.547195  2.4030289  0.21782754 148.519891 147.966268   8.893461  12.5
3545 Gaffey                          214.161637  2.8709158  0.05471835 255.441015  61.560318   2.979213  12.1
3546 Atanasoff                       251.020285  2.6940013  0.02624262 251.458378 335.384374   7.035731  12.7
3547 Serov                           329.669430  2.4766450  0.05081739 160.735143 274.841484   3.913894  13.3
3548 Eurybates                       354.040936  5.1401179  0.09062564  26.065886  43.530490   8.083510   9.5
3549 Hapke                           186.598302  2.7602145  0.16835795 209.661988 284.836029   7.552085  12.7
3550 Link                             93.295734  2.9247474  0.16001010  28.717727  81.560857  14.687999  11.9
3551 Verenia                         317.868781  2.0923662  0.48713137 193.108697 173.977831   9.506279  16.8
3552 Don Quixote                     257.431091  4.2328478  0.71434560 316.712390 350.628309  30.834659  13.0
3553 Mera                            123.254997  1.6445923  0.32048852 288.836622 232.641346  36.756121  16.5
3554 Amun                             99.500947  0.9736971  0.28041542 359.348460 358.699020  23.363999  15.8
3555 Miyasaka                        289.305596  2.7349068  0.23481638 309.760117  26.819567   9.471441  12.7
3556 Lixiaohua                        23.393366  3.1516350  0.22812297 141.524543 241.403105   9.242379  12.5
3557 Sokolsky                        248.318050  4.0102784  0.17597177 125.349232 186.429215   6.033630  10.8
3558 Shishkin                        128.757062  2.4405047  0.06714935 302.329465 345.126682  13.378629  12.5
3559 Violaumayer                     166.692702  2.4858793  0.21642083  70.430809 314.632871   3.812877  13.8
3560 Chenqian                        115.644962  3.0212750  0.11046784  58.257523 325.535717   9.290658  10.5
3561 Devine                          260.216783  3.9650238  0.13321201 181.541794 118.166323   9.653833  10.7
3562 Ignatius                        346.920888  2.3383531  0.15623107  60.991787  93.042268   5.721761  13.1
3563 Canterbury                      245.520529  2.7921635  0.18009552 345.801079 268.242786   6.961643  11.9
3564 Talthybius                      182.998106  5.2481731  0.03824145 196.549839  23.941982  15.478323   9.0
3565 Ojima                            11.334915  3.2099098  0.11307105 338.812939  92.507568   7.300835  11.3
3566 Levitan                          29.758210  2.3607564  0.12691519 194.547921 289.603120   2.270238  12.8
3567 Alvema                          194.609671  2.7828760  0.31476225 137.855222 271.386794   6.824184  12.5
3568 ASCII                            69.024998  3.1333641  0.24702637 280.454966  58.496159  19.462871  12.1
3569 Kumon                           206.881650  2.5916109  0.12410831 314.908042 162.094935  14.055872  12.7
3570 1979 XO                         316.727253  3.0217014  0.08241666 224.189909  85.338757  11.305511  11.4
